participant_id,task_id,label
P001,T001,1
P001,T002,1
P001,T003,2
P001,T004,3
P001,T005,2
P001,T006,3
P001,T007,4
P001,T008,2
P001,T009,2
P001,T010,1
P002,T001,0
P002,T002,0
P002,T003,0
P002,T004,2
P002,T005,1
P002,T006,1
P002,T007,4
P002,T008,2
P002,T009,1
P002,T010,1
P003,T001,3
P003,T002,1
P003,T003,1
P003,T004,0
P003,T005,1
P003,T006,3
P003,T007,3
P003,T008,4
P003,T009,3
P003,T010,2
P004,T001,3
P004,T002,1
P004,T003,3
P004,T004,0
P004,T005,4
P004,T006,3
P004,T007,3
P004,T008,4
P004,T009,3
P004,T010,4
P005,T001,1
P005,T002,3
P005,T003,0
P005,T004,1
P005,T005,4
P005,T006,2
P005,T007,1
P005,T008,1
P005,T009,3
P005,T010,3
P006,T001,3
P006,T002,4
P006,T003,1
P006,T004,4
P006,T005,1
P006,T006,2
P006,T007,0
P006,T008,1
P006,T009,0
P006,T010,0
P007,T001,0
P007,T002,4
P007,T003,3
P007,T004,1
P007,T005,2
P007,T006,1
P007,T007,4
P007,T008,2
P007,T009,4
P007,T010,3
P008,T001,1
P008,T002,0
P008,T003,3
P008,T004,1
P008,T005,4
P008,T006,2
P008,T007,2
P008,T008,2
P008,T009,3
P008,T010,0
P009,T001,0
P009,T002,3
P009,T003,1
P009,T004,1
P009,T005,3
P009,T006,3
P009,T007,4
P009,T008,3
P009,T009,3
P009,T010,2
P010,T001,4
P010,T002,4
P010,T003,4
P010,T004,1
P010,T005,4
P010,T006,3
P010,T007,4
P010,T008,2
P010,T009,1
P010,T010,1
